zcta,state_abbr,final_rank,investment_category_sf,composite_score,projected_delta_2023_2030,target_proxy_2023,target_proxy_2030_projection,median_hh_income_2019,pop_25_44_2019,hh_over_100k_2019
29829,SC,3308,Neutral,0.12452001010026277,337.61622265265277,417.74937924184735,755.3656018945001,53212,3769,1175
37210,TN,3309,Neutral,0.12447915804824648,414.91305599463664,660.2587053049779,1075.1717612996144,36283,5514,1005
95220,CA,3310,Neutral,0.12444783004870938,129.30740205843438,362.5134455893441,491.82084764777846,85906,1819,1112
76084,TX,3311,Neutral,0.12437041886479751,224.34901901652938,607.5875412238915,831.9365602404209,66205,2914,698
93066,CA,3312,Neutral,0.12432424378946705,21.40209682502232,142.11748909029876,163.51958591532107,106875,740,580
33127,FL,3313,Neutral,0.12427441099765621,479.8939758718504,456.5362334602139,936.4302093320644,30633,9404,703
84765,UT,3314,Neutral,0.12417944404145731,151.7004397034778,264.72563680141934,416.42607650489714,84397,1653,894
34239,FL,3315,Neutral,0.12416847581671822,284.44836233656025,430.2483947279486,714.6967570645088,60733,3544,1961
14568,NY,3316,Neutral,0.1241439149205174,135.50738772737554,264.5757927942886,400.08318052166413,86827,1576,904
33567,FL,3317,Neutral,0.12409569994611347,293.00683690846586,393.3001138952164,686.3069508036822,60170,3616,1026
12078,NY,3318,Neutral,0.12404391881718768,375.2236094049583,557.7746783904362,932.9982877953945,44155,5290,1506
89460,NV,3319,Neutral,0.1239682528303792,263.1784161095633,472.261866703732,735.4402828132952,62905,2718,1476
30707,GA,3320,Neutral,0.1239436874953937,318.4985271289493,433.97233928889415,752.4708664178435,55321,4046,1198
95713,CA,3321,Neutral,0.12385722553736168,204.17691554981764,426.2014134275618,630.3783289773794,72746,2130,1421
27101,NC,3322,Neutral,0.12384449183390861,435.97737874851117,572.6598418719436,1008.6372206204549,34477,6308,1293
14219,NY,3323,Neutral,0.12384410012012904,317.9624223529524,481.2224160088122,799.1848383617646,54316,3328,1129
85131,AZ,3324,Neutral,0.1238386390695349,429.059106634578,360.16457369464644,789.2236803292244,40063,8421,481
28480,NC,3325,Neutral,0.12362205202309146,5.381902326519875,145.9035570223689,151.28545934888876,108684,517,660
79935,TX,3326,Neutral,0.12355013350895361,304.9824601964187,528.1887484926335,833.1712086890523,55054,4485,1287
95215,CA,3327,Neutral,0.12343374959967238,361.0585631591545,541.0855869698833,902.1441501290378,46191,5810,1241
77031,TX,3328,Neutral,0.12342942379113145,367.50223631493196,409.2556543837357,776.7578906986677,48029,5575,1074
93614,CA,3329,Neutral,0.1233139071209346,215.80531376717943,403.77108758076093,619.5764013479404,71047,2094,1468
76801,TX,3330,Neutral,0.12326921456073402,361.45132806376046,523.1878975826971,884.6392256464576,46388,6194,1552
79772,TX,3331,Neutral,0.12324540816529596,330.5434280760672,314.8475332748864,645.3909613509536,55507,4811,581
84332,UT,3332,Neutral,0.12323239031908093,176.47607645258907,303.83064516129036,480.3067216138794,79081,1611,832
75766,TX,3333,Neutral,0.12322738513012652,352.20663042304056,563.6546098199169,915.8612402429575,46892,5784,1634
94515,CA,3334,Neutral,0.12321101254636069,137.85268486274725,280.48042190434904,418.3331067670963,85417,2036,1212
95969,CA,3335,Neutral,0.12315919294320207,383.9597814230967,114.6514607893388,498.61124221243546,51625,4632,1999
11933,NY,3336,Neutral,0.12312168601375578,191.98312062437748,284.42216981132077,476.40529043569825,77061,1611,1094
75803,TX,3337,Neutral,0.12306969395394297,386.0676212340533,444.6669004207573,830.7345216548106,44183,7104,850
